Nombre,Estado,Partido,Correo,Comisiones
Carol Antonio Altamirano,Oaxaca,MORENA,carol.antonio@diputados.gob.mx,"Hacienda y Crédito Público, Vigilancia de la Auditoría Superior de la Federación, Turismo"
Giselle Yunueen Arellano Ávila,Jalisco,MORENA,giselle.arellano@diputados.gob.mx,"Relaciones Exteriores, Medio Ambiente y Recursos Naturales, Deporte"
Carmen Patricia Armendáriz Guerra,Chiapas,MORENA,carmen.armendariz@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Economía, Comercio y Competitividad, Cambio Climático y Sostenibilidad"
Magaly Armenta Oliveros,Veracruz,MORENA,magaly.armenta@diputados.gob.mx,"Transparencia y Anticorrupción, Medio Ambiente y Recursos Naturales, Cambio Climático y Sostenibilidad"
Haidyd Arreola Lopez,Jalisco,MORENA,haidyd.arreola@diputados.gob.mx,"Puntos Constitucionales, Ganadería, Comunicaciones y Transportes"
Azucena Arreola Trinidad,Chiapas,MORENA,azucena.arreola@diputados.gob.mx,"Vivienda, Asuntos Frontera Sur, Pesca"
Xóchitl Teresa Arzola Vargas,Estado de México,MORENA,xochitl.arzola@diputados.gob.mx,"Zonas Metropolitanas, Medio Ambiente y Recursos Naturales, Desarrollo Urbano y Ordenamiento Territorial"
Daniel Asaf Manjarrez,Ciudad de México,MORENA,daniel.asaf@diputados.gob.mx,"Relaciones Exteriores, Energía, Defensa Nacional"
Francisco Arturo Federico Ávila Anaya,Aguascalientes,MORENA,francisco.avila@diputados.gob.mx,"Defensa Nacional, Relaciones Exteriores, Presupuesto y Cuenta Pública"
Mildred Concepción Ávila Vera,Quintana Roo,MORENA,mildred.avila@diputados.gob.mx,"Seguridad Ciudadana, Igualdad de Género, Derechos Humanos"
Leide Avilés Domínguez,Estado de México,MORENA,leide.aviles@diputados.gob.mx,"Vivienda, Seguridad Ciudadana, Pueblos Indígenas y Afromexicanos"
Ana Elizabeth Ayala Leyva,Sinaloa,MORENA,ana.ayala@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Manuel De Jesús Baldenebro Arredondo,Sonora,MORENA,manuel.baldenebro@diputados.gob.mx,"Trabajo y Previsión Social, Radio y Televisión, Comunicaciones y Transportes"
María De Los Ángeles Ballesteros García,Puebla,MORENA,maria.ballesteros@diputados.gob.mx,"Ganadería, Energía, Educación"
Rocío Natalí Barrera Puc,Yucatán,MORENA,natali.barrera@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Educación, Derechos de la Niñez y Adolescencia"
Ariadna Barrera Vázquez,Morelos,MORENA,ariadna.barrera@diputados.gob.mx,"Vivienda, Trabajo y Previsión Social, Medio Ambiente y Recursos Naturales"
Gabriela Del Carmen Basto González,Campeche,MORENA,gabriela.basto@diputados.gob.mx,"Energía, Economía, Comercio y Competitividad, Comunicaciones y Transportes"
Juan Angel Bautista Bravo,Estado de México,MORENA,juan.bautista@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Régimen, Reglamentos y Prácticas Parlamentarias, Educación"
María Del Carmen Bautista Peláez,Oaxaca,MORENA,maria.bautista@diputados.gob.mx,"Salud, Recursos Hidráulicos, Agua Potable y Saneamiento, Puntos Constitucionales"
Anay Beltrán Reyes,Estado de México,MORENA,anay.beltran@diputados.gob.mx,"Régimen, Reglamentos y Prácticas Parlamentarias, Reforma Política-Electoral, Derechos Humanos"
Rufina Benítez Estrada,Querétaro,MORENA,rufina.benitez@diputados.gob.mx,"Economía Social y Fomento del Cooperativismo, Diversidad, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Mariana Benítez Tiburcio,Oaxaca,MORENA,mariana.benitez@diputados.gob.mx,"Puntos Constitucionales, Igualdad de Género, Justicia"
Bruno Blancas Mercado,Jalisco,MORENA,bruno.blancas@diputados.gob.mx,"Economía, Comercio y Competitividad, Turismo, Marina"
Cuauhtémoc Blanco Bravo,Ciudad de México,MORENA,cuauhtemoc.blanco@diputados.gob.mx,"Zonas Metropolitanas, Presupuesto y Cuenta Pública, Deporte"
Francisco Javier Borrego Adame,Coahuila,MORENA,francisco.borrego@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Ganadería, Comunicaciones y Transportes"
Oscar Iván Brito Zapata,Yucatán,MORENA,oscar.brito@diputados.gob.mx,"Puntos Constitucionales, Presupuesto y Cuenta Pública, Justicia"
Hilda Araceli Brown Figueredo,Baja California,MORENA,hilda.brown@diputados.gob.mx,"Movilidad, Cultura y Cinematografía, Bienestar"
Anais Miriam Burgos Hernández,Estado de México,MORENA,anais.burgos@diputados.gob.mx,"Turismo, Radio y Televisión, Igualdad de Género"
Venustiano Caamal Cocom,Yucatán,MORENA,venustiano.caamal@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Medio Ambiente y Recursos Naturales, Comunicaciones y Transportes"
Hector Armando Cabada Alvidrez,Chihuahua,MORENA,hector.cabada@diputados.gob.mx,"Relaciones Exteriores, Radio y Televisión, Asuntos Frontera Norte"
Karen Yaiti Calcaneo Constantino,Chiapas,MORENA,karen.calcaneo@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Radio y Televisión, Pesca"
Alejandro Calderón Díaz,Guanajuato,MORENA,alejandro.calderon@diputados.gob.mx,"Derechos Humanos, Bienestar, Atención a Grupos Vulnerables"
Daniel Campos Plancarte,Ciudad de México,MORENA,daniel.campos@diputados.gob.mx,"Reforma Política-Electoral, Medio Ambiente y Recursos Naturales, Deporte"
Clara Cárdenas Galván,Jalisco,MORENA,clara.cardenas@diputados.gob.mx,"Zonas Metropolitanas, Puntos Constitucionales, Defensa Nacional"
Beatriz Carranza Gómez,Jalisco,MORENA,beatriz.carranza@diputados.gob.mx,"Juventud, Comunicaciones y Transportes, Atención a Grupos Vulnerables"
Melva Carrasco Godínez,Estado de México,MORENA,melva.carrasco@diputados.gob.mx,"Energía, Cultura y Cinematografía, Comunicaciones y Transportes"
Olegaria Carrazco Macías,Sinaloa,MORENA,olegaria.carrazco@diputados.gob.mx,"Seguridad Social, Salud, Bienestar"
Mario Miguel Carrillo Cubillas,Puebla,MORENA,mario.carrillo@diputados.gob.mx,"Régimen, Reglamentos y Prácticas Parlamentarias, Trabajo y Previsión Social, Puntos Constitucionales, Gobernación y Población"
Alejandro Carvajal Hidalgo,Puebla,MORENA,alejandro.carvajal@diputados.gob.mx,"Vivienda, Seguridad Social, Economía, Comercio y Competitividad"
Favio Castellanos Polanco,Jalisco,MORENA,favio.castellanos@diputados.gob.mx,"Puntos Constitucionales, Infraestructura, Economía, Comercio y Competitividad"
Gilberto Daniel Castillo García,Jalisco,MORENA,gilberto.castillo@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Social, Salud"
Eduardo Castillo López,Puebla,MORENA,eduardo.castillo@diputados.gob.mx,"Asuntos Migratorios, Hacienda y Crédito Público, Jurisdiccional, Trabajo y Previsión Social"
Katia Alejandra Castillo Lozano,Jalisco,MORENA,katia.castillo@diputados.gob.mx,"Igualdad de Género, Transparencia y Anticorrupción, Puntos Constitucionales, Presupuesto y Cuenta Pública"
Francisco Adrián Castillo Morales,San Luis Potosí,MORENA,francisco.castillo@diputados.gob.mx,"Trabajo y Previsión Social, Salud, Gobernación y Población"
Carlos Alonso Castillo Pérez,Ciudad de México,MORENA,carlos.castillo@diputados.gob.mx,"Trabajo y Previsión Social, Bienestar, Desarrollo Urbano y Ordenamiento Territorial"
Elda Esther Del Carmen Castillo Quintana,Campeche,MORENA,elda.castillo@diputados.gob.mx,"Pesca, Educación, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Rosa María Castro Salinas,Oaxaca,MORENA,rosamaria.castro@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Gobernación y Población, Derechos Humanos"
Fernando Jorge Castro Trenti,Baja California,MORENA,fernando.castro@diputados.gob.mx,"Salud, Marina, Hacienda y Crédito Público"
Antonio Lorenzo Castro Villarreal,Coahuila,MORENA,antonio.castro@diputados.gob.mx,"Vivienda, Energía, Educación"
Elizabeth Cervantes De La Cruz,Veracruz,MORENA,elizabeth.cervantes@diputados.gob.mx,"Infraestructura, Ciencia, Tecnología e Innovación, Recursos Hidráulicos, Agua Potable y Saneamiento"
Olga Leticia Chávez Rojas,Nuevo León,MORENA,olga.chavez@diputados.gob.mx,"Relaciones Exteriores, Energía, Asuntos Migratorios"
Alejandra Chedraui Peralta,Baja California,MORENA,alejandra.chedraui@diputados.gob.mx,"Turismo, Radio y Televisión, Cambio Climático y Sostenibilidad"
Claudia Selene Ávila Flores,Jalisco,MORENA,claudia.avila@diputados.gob.mx,"Transparencia y Anticorrupción, Relaciones Exteriores, Economía, Comercio y Competitividad"
Astrit Viridiana Cornejo Gómez,Hidalgo,MORENA,astrit.cornejo@diputados.gob.mx,"Zonas Metropolitanas, Puntos Constitucionales, Justicia"
Armando Corona Arvizu,Estado de México,MORENA,armando.corona@diputados.gob.mx,"Seguridad Ciudadana, Gobernación y Población, Educación"
Margarita Corro Mendoza,Veracruz,MORENA,margarita.corro@diputados.gob.mx,"Ganadería, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Desarrollo Urbano y Ordenamiento Territorial"
Humberto Coss Y León Zúñiga,Veracruz,MORENA,humberto.cossyleon@diputados.gob.mx,"Defensa Nacional, Seguridad Ciudadana, Marina"
Ricardo Crespo Arroyo,Hidalgo,MORENA,ricardo.crespo@diputados.gob.mx,"Relaciones Exteriores, Energía, Comunicaciones y Transportes"
José Luis Cruz Lucatero,Michoacán,MORENA,joseluis.cruz@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Federalismo y Desarrollo Municipal, Economía Social y Fomento del Cooperativismo"
Carmelo Cruz Mendoza,Oaxaca,MORENA,carmelo.cruz@diputados.gob.mx,"Transparencia y Anticorrupción, Vigilancia de la Auditoría Superior de la Federación, Comunicaciones y Transportes"
Cintia Cuevas Sánchez,Coahuila,MORENA,cintia.cuevas@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura, Comunicaciones y Transportes"
Alma Lidia De La Vega Sánchez,Hidalgo,MORENA,lidia.delavega@diputados.gob.mx,"Salud, Gobernación y Población, Cultura y Cinematografía"
Alma Rosa De La Vega Vargas,Guanajuato,MORENA,alma.delavega@diputados.gob.mx,"Economía Social y Fomento del Cooperativismo, Diversidad, Desarrollo Urbano y Ordenamiento Territorial"
Karina Margarita Del Río Zenteno,Chiapas,MORENA,karina.delrio@diputados.gob.mx,"Igualdad de Género, Bienestar, Asuntos Frontera Sur"
Alejandra Del Valle Ramírez,Durango,MORENA,alejandra.delvalle@diputados.gob.mx,"Presupuesto y Cuenta Pública, Igualdad de Género, Derechos de la Niñez y Adolescencia"
Catalina Díaz Vilchis,Estado de México,MORENA,catalina.diaz@diputados.gob.mx,"Derechos Humanos, Deporte, Atención a Grupos Vulnerables"
Graciela Domínguez Nava,Sinaloa,MORENA,graciela.dominguez@diputados.gob.mx,"Transparencia y Anticorrupción, Pesca, Educación"
Roberto Ángel Domínguez Rodríguez,Estado de México,MORENA,roberto.dominguez@diputados.gob.mx,"Salud, Recursos Hidráulicos, Agua Potable y Saneamiento, Gobernación y Población"
Yoloczin Lizbeth Domínguez Serna,Guerrero,MORENA,yoloczin.dominguez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Infraestructura, Derechos Humanos"
María Teresa Ealy Díaz,Ciudad de México,MORENA,maria.ealy@diputados.gob.mx,"Juventud, Igualdad de Género, Justicia"
Sebastián Ebrard Lestrade,Estado de México,MORENA,sebastian.ebrard@diputados.gob.mx,"Radio y Televisión, Vigilancia de la Auditoría Superior de la Federación, Economía, Comercio y Competitividad"
Zenyazen Roberto Escobar García,Veracruz,MORENA,zenyazen.escobar@diputados.gob.mx,"Marina, Economía, Comercio y Competitividad, Cambio Climático y Sostenibilidad"
Manuel De Jesús Espino Barrientos,Durango,MORENA,manuel.espino@diputados.gob.mx,"Seguridad Ciudadana, Defensa Nacional, Comunicaciones y Transportes"
Flor De María Esponda Torres,Chiapas,MORENA,flor.esponda@diputados.gob.mx,"Presupuesto y Cuenta Pública, Igualdad de Género, Bienestar"
Francisco Javier Estrada Domínguez,Guanajuato,MORENA,fjavier.estrada@diputados.gob.mx,"Puntos Constitucionales, Hacienda y Crédito Público, Desarrollo Urbano y Ordenamiento Territorial"
Leticia Farfán Vázquez,Michoacán,MORENA,leticia.farfan@diputados.gob.mx,"Régimen, Reglamentos y Prácticas Parlamentarias, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Monica Fernández Cesar,Ciudad de México,MORENA,monica.fernandez@diputados.gob.mx,"Seguridad Social, Salud, Defensa Nacional, Cultura y Cinematografía"
Luis Humberto Fernández Fuentes,Querétaro,MORENA,humberto.fernandez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Ciencia, Tecnología e Innovación, Protección Civil y Prevención de Desastres"
José Armando Fernández Samaniego,Baja California,MORENA,armando.samaniego@diputados.gob.mx,"Seguridad Ciudadana, Recursos Hidráulicos, Agua Potable y Saneamiento, Hacienda y Crédito Público"
Zayra Linette Fernández Sarabia,Yucatán,MORENA,zayra.fernandez@diputados.gob.mx,"Marina, Juventud, Defensa Nacional"
Ana Miriam Ferráez Centeno,Veracruz,MORENA,ana.ferraez@diputados.gob.mx,"Radio y Televisión, Desarrollo Urbano y Ordenamiento Territorial, Cambio Climático y Sostenibilidad"
Juan Ángel Flores Bustamante,Morelos,MORENA,angel.flores@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Seguridad Ciudadana, Derechos de la Niñez y Adolescencia"
Hugo Eric Flores Cervantes,Baja California,MORENA,hugo.flores@diputados.gob.mx,"Reforma Política-Electoral, Puntos Constitucionales, Jurisdiccional, Justicia"
Edén Garcés Medina,Ciudad de México,MORENA,eden.garces@diputados.gob.mx,"Salud, Educación, Cambio Climático y Sostenibilidad"
Briceyda García Antonio,San Luis Potosí,MORENA,briceyda.garcia@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Claudia García Hernández,Jalisco,MORENA,claudia.garcia@diputados.gob.mx,"Cultura y Cinematografía, Recursos Hidráulicos, Agua Potable y Saneamiento, Igualdad de Género"
Gabriel García Hernández,Ciudad de México,MORENA,gabriel.garcia@diputados.gob.mx,"Zonas Metropolitanas, Vigilancia de la Auditoría Superior de la Federación, Recursos Hidráulicos, Agua Potable y Saneamiento"
Rafaela Vianey García Romero,Puebla,MORENA,vianey.garcia@diputados.gob.mx,"Justicia, Presupuesto y Cuenta Pública, Diversidad"
Martha Olivia García Vidaña,Durango,MORENA,olivia.garcia@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura"
Claudia Leticia Garfias Alcantara,Estado de México,MORENA,claudia.garfias@diputados.gob.mx,"Radio y Televisión, Movilidad, Comunicaciones y Transportes"
Leonel Godoy Rangel,Michoacán,MORENA,leonel.godoy@diputados.gob.mx,"Gobernación y Población, Puntos Constitucionales, Justicia"
Maiella Martha Gabriela Gómez Maldonado,Puebla,MORENA,maiella.gomez@diputados.gob.mx,"Trabajo y Previsión Social, Energía, Presupuesto y Cuenta Pública"
Merilyn Gómez Pozos,Jalisco,MORENA,merilyn.gomez@diputados.gob.mx,"Seguridad Ciudadana, Infraestructura, Presupuesto y Cuenta Pública"
Juan Antonio González Hernández,Puebla,MORENA,juanantonio.gonzalez@diputados.gob.mx,"Educación, Ciencia, Tecnología e Innovación, Cambio Climático y Sostenibilidad"
Sandra Beatriz González Pérez,Jalisco,MORENA,sandra.gonzalez@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Social, Educación"
Rosa Margarita Graniel Zenteno,Tabasco,MORENA,rosa.graniel@diputados.gob.mx,"Vivienda, Derechos de la Niñez y Adolescencia, Cambio Climático y Sostenibilidad"
Eleazar Guerrero Pérez,Veracruz,MORENA,eleazar.guerrero@diputados.gob.mx,"Transparencia y Anticorrupción, Seguridad Ciudadana, Reforma Política-Electoral"
Julio Ernesto Gutiérrez Bocanegra,Tabasco,MORENA,julio.gutierrez@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Federalismo y Desarrollo Municipal, Ciencia, Tecnología e Innovación"
Sergio Carlos Gutiérrez Luna,Veracruz,MORENA,sergio.gutierrez@diputados.gob.mx,diversas comisiones legislativas
Pedro Miguel Haces Barba,Ciudad de México,MORENA,pedro.haces@diputados.gob.mx,"Trabajo y Previsión Social, Relaciones Exteriores, Defensa Nacional"
Carlos Hernández Mirón,Ciudad de México,MORENA,carlos.miron@diputados.gob.mx,"Zonas Metropolitanas, Puntos Constitucionales, Hacienda y Crédito Público"
César Agustín Hernández Pérez,Estado de México,MORENA,cesar.hernandez@diputados.gob.mx,"Zonas Metropolitanas, Presupuesto y Cuenta Pública, Movilidad"
Claudia Alejandra Hernández Sáenz,Tamaulipas,MORENA,alejandra.hernandez@diputados.gob.mx,"Seguridad Ciudadana, Igualdad de Género, Bienestar"
Arturo Roberto Hernández Tapia,Estado de México,MORENA,arturo.hernandez@diputados.gob.mx,"Comunicaciones y Transportes, Vigilancia de la Auditoría Superior de la Federación, Salud, Atención a Grupos Vulnerables"
Gilberto Herrera Ruiz,Querétaro,MORENA,gilberto.ruiz@diputados.gob.mx,"Economía Social y Fomento del Cooperativismo, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Ciencia, Tecnología e Innovación"
Gilberto Herrera Solórzano,Baja California,MORENA,gilberto.herrera@diputados.gob.mx,"Reforma Política-Electoral, Vivienda, Asuntos Frontera Norte"
Mónica Herrera Villavicencio,Veracruz,MORENA,monica.herrera@diputados.gob.mx,"Educación, Derechos Humanos, Atención a Grupos Vulnerables"
Lucero Higareda Segura,Guanajuato,MORENA,lucero.higareda@diputados.gob.mx,"Igualdad de Género, Economía, Comercio y Competitividad, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Alma Manuela Higuera Esquer,Sonora,MORENA,alma.higuera@diputados.gob.mx,"Transparencia y Anticorrupción, Régimen, Reglamentos y Prácticas Parlamentarias, Igualdad de Género"
Jesús Alfonso Ibarra Ramos,Sinaloa,MORENA,jesus.ibarra@diputados.gob.mx,"Presupuesto y Cuenta Pública, Infraestructura, Ciencia, Tecnología e Innovación"
J. Jesús Jiménez,Lista Nacional / Plurinominal,MORENA,j.jesus.jimenez@diputados.gob.mx,"Vivienda, Trabajo y Previsión Social, Seguridad Social"
Gabriela Georgina Jiménez Godoy,Ciudad de México,MORENA,gabriela.jimenez@diputados.gob.mx,"Seguridad Ciudadana, Puntos Constitucionales, Justicia"
Naty Poob Pijy Jiménez Vásquez,Oaxaca,MORENA,naty.jimenez@diputados.gob.mx,"Energía, Bienestar, Pueblos Indígenas y Afromexicanos"
Irma Juan Carlos,Oaxaca,MORENA,irma.juan@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Medio Ambiente y Recursos Naturales, Gobernación y Población"
Jaime Humberto Lastra Bastar,Tabasco,MORENA,jaime.lastra@diputados.gob.mx,"Ganadería, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Asuntos Frontera Sur"
Víctor Hugo Lobo Román,Ciudad de México,MORENA,victor.lobo@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Comunicaciones y Transportes, Reforma Política-Electoral"
Amalia López De La Cruz,Aguascalientes,MORENA,amalia.lopez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Rocío López Gorosave,Baja California,MORENA,rocio.lopez@diputados.gob.mx,"Pesca, Infraestructura, Economía, Comercio y Competitividad"
Diana Isela López Orozco,Estado de México,MORENA,diana.lopez@diputados.gob.mx,"Turismo, Pueblos Indígenas y Afromexicanos, Juventud"
Herminia López Santiago,Oaxaca,MORENA,herminia.lopez@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Educación, Ciencia, Tecnología e Innovación"
Jaime Genaro López Vela,Ciudad de México,MORENA,jaime.lopez@diputados.gob.mx,"Salud, Derechos Humanos, Diversidad"
María Soledad Luévano Cantú,Zacatecas,MORENA,maria.luevano@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Alberto Maldonado Chavarín,Jalisco,MORENA,alberto.maldonado@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Justicia"
Karina Isabel Martínez Montaño,Sinaloa,MORENA,karina.martinez@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Social, Derechos de la Niñez y Adolescencia"
Sergio Mayer Bretón,Ciudad de México,MORENA,sergio.mayer@diputados.gob.mx,"Seguridad Ciudadana, Defensa Nacional, Justicia"
Ulises Mejía Haro,Zacatecas,MORENA,ulises.mejia@diputados.gob.mx,"Seguridad Ciudadana, Energía, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Roberto Mejía Méndez,Ciudad de México,MORENA,roberto.mejia@diputados.gob.mx,"Zonas Metropolitanas, Relaciones Exteriores, Federalismo y Desarrollo Municipal"
Fernando Mendoza Arce,Estado de México,MORENA,fernando.mendoza@diputados.gob.mx,"Salud, Trabajo y Previsión Social, Seguridad Social"
Eunice Abigail Mendoza Ramírez,Hidalgo,MORENA,eunice.mendoza@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Bienestar"
Jacobo Mendoza Ruiz,Sonora,MORENA,jacobo.mendoza@diputados.gob.mx,"Transparencia y Anticorrupción, Presupuesto y Cuenta Pública, Educación"
Marcela Michel López,Jalisco,MORENA,marcela.michel@diputados.gob.mx,"Seguridad Ciudadana, Movilidad, Hacienda y Crédito Público"
Jorge Alberto Mier Acolt,Veracruz,MORENA,jorge.mier@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Gobernación y Población, Cambio Climático y Sostenibilidad"
Carlos Ignacio Mier Bañuelos,Puebla,MORENA,carlos.mier@diputados.gob.mx,"Relaciones Exteriores, Presupuesto y Cuenta Pública, Federalismo y Desarrollo Municipal"
Iván Millán Contreras,Estado de México,MORENA,ivan.millan@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Movilidad, Desarrollo Urbano y Ordenamiento Territorial"
Beatriz Milland Pérez,Tabasco,MORENA,beatriz.milland@diputados.gob.mx,"Turismo, Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura"
Tey Mollinedo Cano,Tabasco,MORENA,tey.mollinedo@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Energía, Asuntos Frontera Sur"
Ricardo Monreal Ávila,Zacatecas,MORENA,ricardo.monreal@diputados.gob.mx,diversas comisiones legislativas
Santy Montemayor Castillo,Quintana Roo,MORENA,santy.montemayor@diputados.gob.mx,"Movilidad, Medio Ambiente y Recursos Naturales, Desarrollo Urbano y Ordenamiento Territorial"
Celeste Mora Eguiluz,Guerrero,MORENA,celeste.mora@diputados.gob.mx,"Infraestructura, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Bienestar"
Gabino Morales Mendoza,San Luis Potosí,MORENA,gabino.morales@diputados.gob.mx,"Reforma Política-Electoral, Medio Ambiente y Recursos Naturales, Jurisdiccional, Diversidad"
María Guadalupe Morales Rubio,Ciudad de México,MORENA,mariagpe.morales@diputados.gob.mx,"Reforma Política-Electoral, Seguridad Ciudadana, Derechos de la Niñez y Adolescencia"
Leoncio Alfonso Morán Sánchez,Colima,MORENA,leoncio.moran@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Economía, Comercio y Competitividad, Comunicaciones y Transportes"
Evangelina Moreno Guerra,Baja California,MORENA,evangelina.moreno@diputados.gob.mx,"Vivienda, Derechos Humanos, Asuntos Frontera Norte"
Dora Alicia Moreno Méndez,Sonora,MORENA,dora.moreno@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Pesca, Cultura y Cinematografía"
Claudia Lisbeth Moreno Ramírez,Baja California,MORENA,lisbeth.moreno@diputados.gob.mx,"Turismo, Presupuesto y Cuenta Pública, Infraestructura"
Julio César Moreno Rivera,Ciudad de México,MORENA,julio.moreno@diputados.gob.mx,"Puntos Constitucionales, Defensa Nacional, Justicia"
Rosario Del Carmen Moreno Villatoro,Chiapas,MORENA,rosario.moreno@diputados.gob.mx,"Salud, Atención a Grupos Vulnerables, Asuntos Frontera Sur"
Kenia Gisell Muñiz Cabrera,Veracruz,MORENA,kenia.muniz@diputados.gob.mx,"Educación, Derechos de la Niñez y Adolescencia, Atención a Grupos Vulnerables"
Daniel Murguía Lardizábal,Chihuahua,MORENA,daniel.murguia@diputados.gob.mx,"Trabajo y Previsión Social, Hacienda y Crédito Público, Economía, Comercio y Competitividad"
José Narro Céspedes,Nuevo León,MORENA,jose.narro@diputados.gob.mx,"Reforma Política-Electoral, Hacienda y Crédito Público, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Blanca Araceli Narro Panameño,Tamaulipas,MORENA,blanca.narro@diputados.gob.mx,"Seguridad Social, Educación, Economía Social y Fomento del Cooperativismo"
Alma Delia Navarrete Rivera,Estado de México,MORENA,alma.navarrete@diputados.gob.mx,"Igualdad de Género, Movilidad, Juventud"
